Name,Category,Street,City,State,Zip,Description,Website
Maine Inside Out,Community Reintegration,105 Middle Street,Lewiston,ME,04240,Collaborative original theater and performance for communities inside and outside correctional facilities,http://www.maineinsideout.org/
New Beginnings,Community Reintegration,134 College Street,Lewiston,ME,04240,Services for runaway and homeless youth,https://newbeginmaine.org/about-us/
Spurwink,Community Reintegration,581 Sabattus Street,Lewiston,ME,04240,"Day Treatment, Case Management, Refugee Services, Child Abuse Prevention and Counseling",https://spurwink.org/
Trinity Jubilee Center,Community Reintegration,247 Bates Street,Lewiston,ME,04240,"Soup kitchen, food pantry, day shelter, resource center, free clinic, and refugee integration programming",https://www.trinityjubileecenter.org/
Advocates for children,Early Intervention,124 Canal Street,Lewiston,ME,04240,"Child abuse prevention, parenting programs, resources, and supports",https://advocatesforchildren.net/
B Street Health Center,Early Intervention,57 Birch Street,Lewiston,ME,04240,Full service medical practice,http://www.communityclinicalservices.com/b-street-health-center/
Community Concepts,Early Intervention,240 Bates Street ,Lewiston,ME,04240,"Offering multiple child focused services, housing, and transportation services",https://www.ccimaine.org/
Community Youth Services,Early Intervention,38 Summer Street ,Lewiston,ME,04240,Diversion and career pathway development services,http://www.communityyouthservicesinc.org/auburnlewiston.html
Community Partnership for Protecting Children (CPPC),Early Intervention,240 Bates Street ,Lewiston,ME,04240,A network of people who partner to support families who are experiencing stress,https://www.cppcmaine.org/lewiston-auburn
Dingley Alternative School,Early Intervention,36 Oak Street ,Lewiston,ME,04240,Program for suspended students,https://www.lewistonpublicschools.org/administration-ad74f499
Franklin and Merrill Hill Alternative Programs,Early Intervention,23 High Street,Auburn,ME,04210,Alternative education for students who have been unsuccessful in a traditional classroom. ,http://franklinmerrill.auburnschl.edu/
Future Builders,Early Intervention,33 Twin Pine Road,Raymond,ME,04071,"Private school for students grades 7-12 with an experiential, hands-on approach",https://futurebuildersschool.com/
My Life My Choice Trafficking Prevention (SAPARS/Safe Voices),Early Intervention,45 Main Street,Lewiston,ME,04240,"Survivor empowerment, training, and advocacy to fight exploitation",https://www.mylifemychoice.org/
Poland Spring Academy,Early Intervention,Hope Springs Drive,Poland,ME,04274,"Small, indvidualized educational environment through 12th grade",http://polandspringacademy.com/
Restorative Justice Institute of Maine,Early Intervention,134 College Street,Lewiston,ME,04240,Restorative justice programs and training,https://www.rjimaine.org/
Safe Families,Early Intervention,124 Canal Street,Lewiston,ME,04240,Supports families in crisis,https://safe-families.org/
Star Academy,Early Intervention,156 East Ave,Lewiston,ME,04240,School dropout intervention,https://staracademyprogram.com/
The Root Cellar,Early Intervention,89 birch street,lewiston ,ME,04240,Community center with programs for youth and adults,https://therootcellar.org/about
Tree Street,Early Intervention,144 howe street,lewiston,ME ,04240,"Academic, arts, and athletic programs for youth",https://treestreetyouth.org/
Trinity Jubilee Center,Early Intervention,247 Bates Street,Lewiston,ME,04240,"Soup kitchen, food pantry, day shelter, resource center, free clinic, and refugee integration programming",https://www.trinityjubileecenter.org/
YLAT - Lewiston ,Early Intervention,200 Main street,Lewiston ,ME,04240,Youth-adult partership focused on improving foster care system,https://www.ylat.org/
Blue Willow,Intensive Intervention,101 East Ave,Lewiston,ME,04240,"Counseling for mental health and substance use disorder, outpatient therapy, support groups, and case management",https://www.bluewillowcounseling.com/services.html
"Facing Change, P.A.",Intensive Intervention,4 Park Street,Lewiston,ME,04240,Addiction and substance use counseling,https://www.facebook.com/pages/category/Local-Business/Facing-Change-PA-428558937256456/
Hope Haven,Intensive Intervention,209 Lincoln Street,Lewiston,ME,04240,"Emergency shelter, soup kitchen, and food pantry",https://www.hopehavengospelmission.org/
Opportunity Alliance - High Fidelity Wraparound,Intensive Intervention,50 Lydia Lane ,So. Portland,ME,04106,Trauma informed high fidelity wraparound for youth invovled in the youth justice system and their families,https://www.opportunityalliance.org/programs/children-and-youth-mental-health-services/
